"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"1","cardio_latent_agg","~","cardio_latent_agg",0,0.00379737474085506,233.95062329686,0,0.880955469786917,0.895840905242673,NA,NA,0
"4","cardio_latent_agg","~","cardio_latent_gvrf",0.888455846300876,0.00379619094080218,234.038766794258,0,0.881015448778466,0.895896243823285,0.671591851517388,0.54681265092485,0
"8","cardio_latent_agg","~","cog_latent_g",-0.029822631173863,0.0087121863592879,-3.42309380722436,0.000619127071574521,-0.0468982026646684,-0.0127470596830576,0.125757962678879,0.000978762086341067,0.000778762623130321
"12","cardio_latent_agg","~","heart_latent_pc1",0.0301166276914304,0.00884069775777494,3.40658944764223,0.000657799922053393,0.0127891784879875,0.0474440768948733,0.125749714412274,0.000970513819735896,0.000820644744285662
"16","cardio_latent_agg","~","heart_latent_pc2",-0.389854298898368,0.00760075879196578,-51.2914972792525,0,-0.404751512385797,-0.374957085410939,0.258225070973611,0.133445870381073,0
"20","cardio_latent_agg","~","heart_latent_pc3",0.0933698114810012,0.00863420851415108,10.8139398449751,0,0.076447073758256,0.110292549203746,0.133274081311575,0.00849488071903748,0
"24","cardio_latent_agg","~","brain_latent_grey",-0.0883347082330618,0.0104448717822562,-8.45723241745532,0,-0.108806280749423,-0.0678631357167009,0.130065688812768,0.00528648822023048,0
"28","cardio_latent_agg","~","brain_latent_atrophy",-0.0471558485404956,0.0107063981597672,-4.40445496578851,1.06050167805183e-05,-0.0681400033377852,-0.026171693743206,0.126316560047041,0.0015373594545034,1.49547306944027e-05
"32","cardio_latent_agg","~","brain_latent_gMD",0.0441144108550484,0.00905725395590912,4.87061653231742,1.1125056467165e-06,0.0263625193026336,0.0618663024074632,0.126630363604761,0.00185116301222299,1.68039555842952e-06
"36","cardio_latent_agg","~","brain_latent_gFA",-0.0369770409331949,0.00882673557921877,-4.18920909109953,2.79928384230299e-05,-0.054277124769522,-0.0196769570968679,0.126182223586376,0.00140302299383788,3.78479950214e-05
"40","cardio_latent_agg","~","brain_latent_pc1",-0.0468821385177483,0.00915781472345984,-5.11935870439145,3.0657635963216e-07,-0.0648311255528203,-0.0289331514826764,0.126810446675131,0.00203124608259297,4.71138174292336e-07
"44","cardio_latent_agg","~","brain_latent_pc2",0.0108431148530848,0.0087691128639574,1.23651217874637,0.216268241590736,-0.0063440305366386,0.0280302602428082,0.125014422227065,0.000235221634527272,0.226298073084799
"48","cardio_latent_agg","~","brain_latent_pc3",-0.039049095596853,0.0097436411188736,-4.00764920633358,6.13261179547298e-05,-0.0581462812681288,-0.0199519099255772,0.126074035061776,0.0012948344692385,8.18736264235183e-05
"52","cardio_latent_agg","~","heart_latent_cc1",-0.208362832963891,0.00953715767310026,-21.8474770058151,0,-0.227055318518047,-0.189670347409735,0.157005094873044,0.0322258942805066,0
"56","cardio_latent_agg","~","heart_latent_cc2",-0.397616918608679,0.00812841177095938,-48.9169261859072,0,-0.413548312931271,-0.381685524286087,0.249358237463532,0.124579036870994,0
"60","cardio_latent_agg","~","heart_latent_cc3",0.267240259007578,0.00853714120232553,31.3032492580516,0,0.250507769720087,0.283972748295069,0.185872336597295,0.0610931360047571,0
"64","cardio_latent_agg","~","brain_latent_cc1",-0.194846262648551,0.00921251283023733,-21.1501754449694,0,-0.21290245600293,-0.176790069294173,0.155138166981836,0.030358966389298,0
"68","cardio_latent_agg","~","brain_latent_cc2",-0.337337687121626,0.00962190493105298,-35.0593452688281,0,-0.356196274249159,-0.318479099994094,0.198724539448378,0.0739453388558399,0
"72","cardio_latent_agg","~","brain_latent_cc3",0.161332779103613,0.00898205072379248,17.9616864861673,0,0.143728283177668,0.178937275029558,0.147173159649049,0.022393959056511,0
"76","cardio_latent_gvrf","~","cardio_latent_agg",0.703150504960076,0.00356236705445855,197.382946285682,0,0.696168393833626,0.710132616086527,0.740087981050009,0.432674712683154,0
"80","cardio_latent_gvrf","~","cardio_latent_gvrf",0,0.00379737474085506,233.95062329686,0,0.880955469786917,0.895840905242673,NA,NA,0
"83","cardio_latent_gvrf","~","cog_latent_g",-0.0263955268559374,0.00775187413240216,-3.40505101154912,0.00066151695453498,-0.0415889209681333,-0.0112021327437415,0.308091806989167,0.000678538622312708,0.000820644744285662
"87","cardio_latent_gvrf","~","heart_latent_pc1",0.0478859642800303,0.00784998041667307,6.10013805618194,1.05976893927107e-09,0.0325002853840064,0.0632716431760543,0.309563405451479,0.00215013708462453,1.7311157786283e-09
"91","cardio_latent_gvrf","~","heart_latent_pc2",-0.435404573416355,0.00629441888557225,-69.173116904305,0,-0.447741407735685,-0.423067739097024,0.473718862308241,0.166305593941386,0
"95","cardio_latent_gvrf","~","heart_latent_pc3",0.0805199085846355,0.00769756057518073,10.4604449420322,0,0.0654329670884659,0.0956068500808052,0.313647588894106,0.00623432052725104,0
"99","cardio_latent_gvrf","~","brain_latent_grey",-0.0722184305385146,0.00930924530568558,-7.75771055193997,8.65973959207622e-15,-0.090464216060907,-0.0539726450161223,0.310872750520166,0.00345948215331171,1.60316204755873e-14
"103","cardio_latent_gvrf","~","brain_latent_atrophy",-0.0320314213792328,0.00953338119090716,-3.35992243861853,0.00077964357019833,-0.0507165051643024,-0.0133463375941632,0.308074194300483,0.000660925933627987,0.000954593876688554
"107","cardio_latent_gvrf","~","brain_latent_gMD",0.0380443452300561,0.00806106699252084,4.71951731270242,2.36404926545752e-06,0.0222449442477507,0.0538437462123616,0.308706765237763,0.00129349687090841,3.51202380588546e-06
"111","cardio_latent_gvrf","~","brain_latent_gFA",-0.0299505644663896,0.0078562423234777,-3.81232696665745,0.000137664599777043,-0.0453485164742252,-0.014552612458554,0.308261279549077,0.00084801118222233,0.000178125163152375
"115","cardio_latent_gvrf","~","brain_latent_pc1",-0.0379662593948582,0.00815284934482134,-4.6568086553659,3.21148664927939e-06,-0.053945550482089,-0.0219869683076274,0.30867296251481,0.00125969414795535,4.73202726689739e-06
"119","cardio_latent_gvrf","~","brain_latent_pc2",0.0200720024154228,0.00779816338653247,2.57393971125142,0.010054779209917,0.00478788303226022,0.0353561217985853,0.307804957089718,0.000391688722863326,0.0117468456141749
"123","cardio_latent_gvrf","~","brain_latent_pc3",-0.0341005899722065,0.00867047120006574,-3.93295695070735,8.39072692522258e-05,-0.0510944012533271,-0.0171067786910858,0.308315113749945,0.00090184538309046,0.000110954301099097
"127","cardio_latent_gvrf","~","heart_latent_cc1",-0.241904198058528,0.00831873237922531,-29.0794543003505,0,-0.258208613918837,-0.225599782198219,0.350691558266103,0.0432782898992479,0
"131","cardio_latent_gvrf","~","heart_latent_cc2",-0.45623773249632,0.00667201924410025,-68.3807578792206,0,-0.469314649918914,-0.443160815073725,0.471279576145353,0.163866307778498,0
"135","cardio_latent_gvrf","~","heart_latent_cc3",0.303911701362234,0.00734201817392283,41.3934825769921,0,0.289521610167507,0.318301792556961,0.386272437240275,0.07885916887342,0
"139","cardio_latent_gvrf","~","brain_latent_cc1",-0.238766483281892,0.00799069078363129,-29.8805810094666,0,-0.254427949429406,-0.223105017134379,0.352824366573744,0.0454110982068895,0
"143","cardio_latent_gvrf","~","brain_latent_cc2",-0.36412800722573,0.00833088712696447,-43.7081911777632,0,-0.380456245953848,-0.347799768497611,0.393434685794854,0.0860214174279991,0
"147","cardio_latent_gvrf","~","brain_latent_cc3",0.180457826344347,0.0079078399647331,22.8201161314774,0,0.164958744817964,0.195956907870731,0.335285377286338,0.0278721089194832,0
"151","cog_latent_g","~","cardio_latent_agg",-0.0327739629623846,0.0095735914703753,-3.42337178934374,0.000618494205164133,-0.0515378574470201,-0.0140100684777492,0.0392404239604955,0.000953224019939136,0.000778762623130321
"155","cog_latent_g","~","cardio_latent_gvrf",-0.036652266601227,0.0107615272769149,-3.40586105095434,0.000659557381830433,-0.0577444724826256,-0.0155600607198285,0.039230860033783,0.00094366009322655,0.000820644744285662
"159","cog_latent_g","~","cog_latent_g",0,0.00379737474085506,233.95062329686,0,0.880955469786917,0.895840905242673,NA,NA,0
"162","cog_latent_g","~","heart_latent_pc1",-0.00189220093994876,0.00927792906164484,-0.203946476350111,0.838395325393753,-0.0200766077518901,0.0162922058719926,0.0383037964485543,1.65965079979014e-05,0.838395325393753
"166","cog_latent_g","~","heart_latent_pc2",0.0750007576073429,0.00951396541016408,7.88322790486679,3.10862446895044e-15,0.0563537280532615,0.0936477871614244,0.0432348041871026,0.00494760424654617,5.90638649100583e-15
"170","cog_latent_g","~","heart_latent_pc3",-0.0218488825507344,0.0091447487533175,-2.38922721007596,0.0168838570658083,-0.0397722607549042,-0.00392550434656449,0.0387588571585216,0.00047165721796516,0.0189878492109411
"174","cog_latent_g","~","brain_latent_grey",0.204044869905042,0.0106420375121047,19.1734777924765,0,0.183186859659192,0.224902880150891,0.0658489728375297,0.0275617728969733,0
"178","cog_latent_g","~","brain_latent_atrophy",0.204185569660977,0.0108702623379703,18.7838677037028,0,0.182880246976053,0.225490892345901,0.0648117147941727,0.0265245148536163,0
"182","cog_latent_g","~","brain_latent_gMD",-0.0387169962568895,0.00950009625736686,-4.07543199647754,4.59290031749049e-05,-0.0573368427709923,-0.0200971497427867,0.0396312963737059,0.00134409643314948,6.1743265773929e-05
"186","cog_latent_g","~","brain_latent_gFA",0.0485241200185405,0.00924275969024891,5.24996014661437,1.52132120456727e-07,0.0304086439078941,0.066639596129187,0.0405040541256603,0.00221685418510387,2.40219197497337e-07
"190","cog_latent_g","~","brain_latent_pc1",0.053432535947351,0.0095939018179131,5.56942701327059,2.55578420649272e-08,0.034628833913028,0.072236237981674,0.0407786831001182,0.00249148315956182,4.15602747091834e-08
"194","cog_latent_g","~","brain_latent_pc2",0.0423611806589659,0.00917434231274485,4.61735339874101,3.88665067729832e-06,0.0243798001441441,0.0603425611737877,0.0400071382655695,0.00171993832501305,5.63717855563312e-06
"198","cog_latent_g","~","brain_latent_pc3",0.126656740218337,0.010071311749411,12.57599241983,0,0.106917331912416,0.146396148524258,0.0506244972799029,0.0123372973393465,0
"202","cog_latent_g","~","heart_latent_cc1",-0.00581717636833657,0.0104268932509611,-0.557901210679451,0.576911844769643,-0.026253511610864,0.0146191588741909,0.0383254804848928,3.82805443364109e-05,0.58998794854762
"206","cog_latent_g","~","heart_latent_cc2",0.0981066897209352,0.0100095360294272,9.80132240220821,0,0.0784883596013018,0.117725019840569,0.0458771863138687,0.00758998637331232,0
