"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj"
"1","cardio_latent_agg","~","cov_age",0.220429684534172,0.00826969951036265,26.6551020696646,0,0.204221371330892,0.236637997737451,0
"2","cardio_latent_agg","~","cov_sex",0.261606647623143,0.00814248940244138,32.1285831265197,0,0.245647661649859,0.277565633596428,0
"3","cardio_latent_gvrf","~","cov_age",0.170784928485271,0.00747583363394723,22.8449343374562,0,0.156132563808321,0.185437293162221,0
"4","cardio_latent_gvrf","~","cov_sex",0.516135809874744,0.00611525742257576,84.4013218428581,0,0.504150125570304,0.528121494179184,0
"5","cog_latent_g","~","cov_age",-0.183040403000125,0.0087620393894466,-20.8901597977963,0,-0.200213684634562,-0.165867121365688,0
"6","cog_latent_g","~","cov_sex",0.0825508240133115,0.00894152431589517,9.23229877780039,0,0.0650257583872678,0.100075889639355,0
"7","heart_latent_pc1","~","cov_age",0.0351377902935036,0.00886418837072252,3.96401665036362,7.3699108732006e-05,0.0177643003347087,0.0525112802522985,8.00161751947494e-05
"8","heart_latent_pc1","~","cov_sex",0.245478656629675,0.00847236048944738,28.974057104325,0,0.228873135206318,0.262084178053032,0
"9","heart_latent_pc2","~","cov_age",-0.173564334678568,0.00839572881027054,-20.6729324637364,0,-0.190019660770664,-0.157109008586473,0
"10","heart_latent_pc2","~","cov_sex",0.316289790819266,0.0079443304875859,39.8132720326164,0,0.300719189182314,0.331860392456217,0
"11","heart_latent_pc3","~","cov_age",-0.108970835266034,0.00890170911493218,-12.2415632615135,0,-0.126417864532153,-0.0915238059999148,0
"12","heart_latent_pc3","~","cov_sex",-0.159357547861039,0.00881099704049932,-18.0862105762333,0,-0.176626784728307,-0.142088310993772,0
"13","brain_latent_grey","~","cov_age",-0.366913749866198,0.00675704583100166,-54.3009118249249,0,-0.380157316336848,-0.353670183395548,0
"14","brain_latent_grey","~","cov_sex",0.476625847956725,0.00623252719168337,76.4739299641934,0,0.464410319128359,0.488841376785091,0
"15","brain_latent_atrophy","~","cov_age",-0.261458779379508,0.00697222317472952,-37.5000588516949,0,-0.275124085694154,-0.247793473064863,0
"16","brain_latent_atrophy","~","cov_sex",0.561675101346396,0.0055944772376792,100.398138643495,0,0.550710127448216,0.572640075244576,0
"17","brain_latent_gMD","~","cov_age",0.329985035718141,0.0079304117454832,41.6100760349657,0,0.31444171431442,0.345528357121861,0
"18","brain_latent_gMD","~","cov_sex",0.0388265284008059,0.00862556276951411,4.50133277541415,6.75286829565636e-06,0.0219207360261687,0.0557323207754431,7.54732338926299e-06
"19","brain_latent_gFA","~","cov_age",-0.248614789002749,0.00845649792875444,-29.3992609112325,0,-0.265189220378445,-0.232040357627053,0
"20","brain_latent_gFA","~","cov_sex",0.0651194629724167,0.00883890974499803,7.36736371918132,1.74082970261225e-13,0.0477955182096204,0.0824434077352129,2.06723527185204e-13
"21","brain_latent_pc1","~","cov_age",-0.363135538843233,0.0076925694042677,-47.2060139804227,0,-0.378212697824172,-0.348058379862294,0
"22","brain_latent_pc1","~","cov_sex",-0.0011615837992917,0.00853806437391402,-0.13604767408883,0.891783592825124,-0.0178958824698477,0.0155727148712643,0.891783592825124
"23","brain_latent_pc2","~","cov_age",-0.00400212114585617,0.00893983790588387,-0.447672674604326,0.654389445225977,-0.0215238814690145,0.0135196391773022,0.6720756464483
"24","brain_latent_pc2","~","cov_sex",0.219971586105382,0.008616313119645,25.5296648405049,0,0.203083922711358,0.236859249499407,0
"25","brain_latent_pc3","~","cov_age",-0.164947288633343,0.00788015224414659,-20.9319926218262,0,-0.180392103224563,-0.149502474042123,0
"26","brain_latent_pc3","~","cov_sex",0.463490095058012,0.00673935745569668,68.7736328136492,0,0.450281197165905,0.476698992950119,0
"27","heart_latent_cc1","~","cov_age",0.0308251323243497,0.0078875009297379,3.90809872467096,9.30252954025601e-05,0.0153659145740372,0.0462843500746622,9.8193367369369e-05
"28","heart_latent_cc1","~","cov_sex",0.505142341989427,0.00637189637200684,79.2766097403325,0,0.492653654587072,0.517631029391782,0
"29","heart_latent_cc2","~","cov_age",-0.441001846030637,0.0069579655628895,-63.3808606904772,0,-0.45463920793957,-0.427364484121704,0
"30","heart_latent_cc2","~","cov_sex",0.158494704488137,0.00800070169501199,19.8101004799304,0,0.142813617314865,0.174175791661409,0
"31","heart_latent_cc3","~","cov_age",0.237617498097184,0.00812377041894164,29.2496569749371,0,0.221695200657386,0.253539795536981,0
"32","heart_latent_cc3","~","cov_sex",0.282992438104208,0.00797417842751314,35.4886011990658,0,0.267363335579986,0.29862154062843,0
"33","brain_latent_cc1","~","cov_age",0.0579709702650676,0.00816052372660621,7.10382963241214,1.2134737659153e-12,0.0419766376659348,0.0739653028642003,1.39733342741761e-12
"34","brain_latent_cc1","~","cov_sex",0.443235440450503,0.00697205178424848,63.5731710214599,0,0.429570470055028,0.456900410845978,0
"35","brain_latent_cc2","~","cov_age",-0.591455015832557,0.00541784079021845,-109.168031829283,0,-0.602073788655357,-0.580836243009756,0
"36","brain_latent_cc2","~","cov_sex",0.0949112226273588,0.0073369466052117,12.9360656052669,0,0.0805310715246505,0.109291373730067,0
"37","brain_latent_cc3","~","cov_age",0.334088253176041,0.00777532695222183,42.9677433796626,0,0.318848892381663,0.34932761397042,0
"38","brain_latent_cc3","~","cov_sex",0.159860348760854,0.00832137442396034,19.210810692589,0,0.143550754588019,0.176169942933689,0
